channel_name,channel_id,video_url,video_title,views,likes,comments
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=n5Uh-2RPU6w,The Reality of Unlisted and Pre-IPO Stocks,46777,2004,126
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=vGBLkB2DCVs,How To Pick Winning Stocks | Stock Market Classes | Finology Academy,42893,1932,380
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=3W731DlLDCk,Why NoBody can Buy a House in India ?,170628,6532,805
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=Gn8jyPY_KKA,Stock Market Crash | NIFTY Crashes 4% | Buy or Sell?,195811,8671,7255
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=jSwrci0vKVw,The Penny Stock Strategy | How to Find �Better� Penny Stocks,39909,1871,392
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=Ig5KkNd_vxc,4 Money Mistakes That Are Keeping You Poor,135119,6100,625
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=T-nmNeW8AM4,Mutual Funds Investment Guide for Beginners for SIP and Lump Sum,224476,8416,450
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=3aM0jPe6hSI,"Sell these Stocks, Buy these Stocks | Stock Market Crash Strategy",207975,10383,948
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=vWgavFa75wg,DANGER??Why Trusting Pranjal Kamra is Risky,62738,2919,229
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=NUpQ5uRtzpA,Stock Market Crash 2025 - Buy More or Sell Now ?,294869,11510,1352
Finology with Pranjal,UCwAdQUuPT6laN-AQR17fe1g,https://www.youtube.com/watch?v=AWZ51Du36W0,Best Health Insurance 2025 in Hindi | Top Health Plan for 2025,119847,4267,431
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=JRlq1gOeqak,Can You Really EARN 30% from Real Estate?! | HOUSE HACKING Strategy Analysis | Ankur Warikoo Hindi,133452,2446,454
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=Nov7iZy9VoE,"30K Income, 6.65 Lakh LOAN - 1 SOLUTION! | Money Matters Ep. 65 | Ankur Warikoo Hindi",232999,4744,547
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=kz6U0axmPSc,The Complete MUTUAL FUND INVESTMENT Guide | Ankur Warikoo Hindi,292023,7980,483
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=T2wDZSld_pA,BUYING a 50L HOUSE Without a LOAN - Is This POSSIBLE?! | Money Matters Ep. 64 | Ankur Warikoo Hindi,479851,8704,553
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=T7JHfLGm_GY,Practical GUIDE for BUDGETING - The Most Important Financial Habit! | Ankur Warikoo Hindi,224413,7071,403
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=WjwoMMYdTvI,DO NOT Make These 3 FINANCIAL MISTAKES! | Money Matters Ep. 63 | Ankur Warikoo Hindi,238092,4852,503
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=XBXa8HKFyaE,The COMPLETE Investment Guide for Your 20s! | Ankur Warikoo Hindi,291623,10097,573
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=2fMOE58BldA,Are You INVESTING in GOLD the RIGHT Way? | Ankur Warikoo Hindi,365721,5854,433
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=XH_4rj-j0sU,6-Month PLAN to Take Charge Of Your FINANCES! | Ankur Warikoo Hindi,442757,12551,467
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=D9sexfBGmVQ,How To Pay Off 16 LOANS and ?70 LAKHS of DEBT?! | Money Matters Ep. 62 | Ankur Warikoo Hindi,650590,9806,833
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=Bmt84ar3wxE,How I Only Work 25 Hours a Week But Earn CRORES! | Ankur Warikoo Hindi,459731,20055,782
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=77ur4dFUcIw,?12 Lakh Debt from GAMBLING - Can it be SOLVED?! | Money Matters Ep. 61 | Ankur Warikoo Hindi,466503,10712,1128
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=1_2H9Tlzdhs,How to make money AFTER the 2025 MARKET CRASH? | Ankur Warikoo Hindi,192265,4587,327
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=yJYUa_vUt0E,"?38,000 EMIs on ?46,000 Salary - How To PLAN? | Money Matters Ep. 60 | Ankur Warikoo Hindi",299354,4943,615
warikoo,UCRzYN32xtBf3Yxsx5BvJWJw,https://www.youtube.com/watch?v=H6Zu2IvAU48,Should You BUY a HOUSE or RENT? Check with this EXCEL SHEET! | Ankur Warikoo Hindi,559015,8072,801
